#Time  flux(x0) flux(x1) flux(y0) flux(y1)
29.9514  -0.00500001 0.00500001 0 0
30.0514  -0.00500001 0.00500001 0 0
30.1513  -0.00500001 0.00500001 0 0
30.2513  -0.00500001 0.00500001 0 0
30.3513  -0.00500001 0.00500001 0 0
30.4513  -0.00500001 0.00500001 0 0
30.5513  -0.00500001 0.00500001 0 0
30.6513  -0.00500001 0.00500001 0 0
30.7513  -0.00500001 0.00500001 0 0
30.8513  -0.00500001 0.00500001 0 0
30.9513  -0.00500001 0.00500001 0 0
31.0512  -0.00500001 0.00500001 0 0
31.1512  -0.00500001 0.00500001 0 0
31.2512  -0.00500001 0.00500001 0 0
31.3512  -0.00500001 0.00500001 0 0
31.4512  -0.00500001 0.00500001 0 0
31.5512  -0.00500001 0.00500001 0 0
31.6512  -0.00500001 0.00500001 0 0
31.7512  -0.00500001 0.00500001 0 0
31.8512  -0.00500001 0.00500001 0 0
31.9512  -0.00500001 0.00500001 0 0
32.0511  -0.00500001 0.00500001 0 0
32.1511  -0.00500001 0.00500001 0 0
32.2511  -0.00500001 0.00500001 0 0
32.3511  -0.00500001 0.00500001 0 0
32.4511  -0.00500001 0.00500001 0 0
32.5511  -0.00500001 0.00500001 0 0
32.6511  -0.00500001 0.00500001 0 0
32.7511  -0.00500001 0.00500001 0 0
32.8511  -0.00500001 0.00500001 0 0
32.951  -0.00500001 0.00500001 0 0
33.051  -0.00500001 0.00500001 0 0
33.151  -0.00500001 0.00500001 0 0
33.251  -0.00500001 0.00500001 0 0
33.351  -0.00500001 0.00500001 0 0
33.451  -0.00500001 0.00500001 0 0
33.551  -0.00500001 0.00500001 0 0
33.651  -0.00500001 0.00500001 0 0
33.751  -0.00500001 0.00500001 0 0
33.8509  -0.00500001 0.00500001 0 0
33.9509  -0.00500001 0.00500001 0 0
34.0509  -0.00500001 0.00500001 0 0
34.1509  -0.00500001 0.00500001 0 0
34.2509  -0.00500001 0.00500001 0 0
34.3509  -0.00500001 0.00500001 0 0
34.4509  -0.00500001 0.00500001 0 0
34.5509  -0.00500001 0.00500001 0 0
34.6509  -0.00500001 0.00500001 0 0
34.7508  -0.00500001 0.00500001 0 0
34.8508  -0.00500001 0.00500001 0 0
34.9508  -0.00500001 0.00500001 0 0
35.0508  -0.00500001 0.00500001 0 0
35.1508  -0.00500001 0.00500001 0 0
35.2508  -0.00500001 0.00500001 0 0
35.3508  -0.00500001 0.00500001 0 0
35.4508  -0.00500001 0.00500001 0 0
35.5508  -0.00500001 0.00500001 0 0
35.6507  -0.00500001 0.00500001 0 0
35.7507  -0.00500001 0.00500001 0 0
35.8507  -0.00500001 0.00500001 0 0
35.9507  -0.00500001 0.00500001 0 0
36.0507  -0.00500001 0.00500001 0 0
36.1507  -0.00500001 0.00500001 0 0
36.2507  -0.00500001 0.00500001 0 0
36.3507  -0.00500001 0.00500001 0 0
36.4507  -0.00500001 0.00500001 0 0
36.5506  -0.00500001 0.00500001 0 0
36.6506  -0.00500001 0.00500001 0 0
36.7506  -0.00500001 0.00500001 0 0
36.8506  -0.00500001 0.00500001 0 0
36.9506  -0.00500001 0.00500001 0 0
37.0506  -0.00500001 0.00500001 0 0
37.1506  -0.00500001 0.00500001 0 0
37.2506  -0.00500001 0.00500001 0 0
37.3506  -0.00500001 0.00500001 0 0
37.4505  -0.00500001 0.00500001 0 0
37.5505  -0.00500001 0.00500001 0 0
37.6505  -0.00500001 0.00500001 0 0
37.7505  -0.00500001 0.00500001 0 0
37.8505  -0.00500001 0.00500001 0 0
37.9505  -0.00500001 0.00500001 0 0
38.0505  -0.00500001 0.00500001 0 0
38.1505  -0.00500001 0.00500001 0 0
38.2505  -0.00500001 0.00500001 0 0
38.3505  -0.00500001 0.00500001 0 0
38.4504  -0.00500001 0.00500001 0 0
38.5504  -0.00500001 0.00500001 0 0
38.6504  -0.00500001 0.00500001 0 0
38.7504  -0.00500001 0.00500001 0 0
38.8504  -0.00500001 0.00500001 0 0
38.9504  -0.00500001 0.00500001 0 0
39.0504  -0.00500001 0.00500001 0 0
39.1504  -0.00500001 0.00500001 0 0
39.2504  -0.00500001 0.00500001 0 0
39.3503  -0.00500001 0.00500001 0 0
39.4503  -0.00500001 0.00500001 0 0
39.5503  -0.00500001 0.00500001 0 0
39.6503  -0.00500001 0.00500001 0 0
39.7503  -0.00500001 0.00500001 0 0
39.8503  -0.00500001 0.00500001 0 0
39.9503  -0.00500001 0.00500001 0 0
40.0503  -0.00500001 0.00500001 0 0
40.1503  -0.00500001 0.00500001 0 0
40.2502  -0.00500001 0.00500001 0 0
40.3502  -0.00500001 0.00500001 0 0
40.4502  -0.00500001 0.00500001 0 0
40.5502  -0.00500001 0.00500001 0 0
40.6502  -0.00500001 0.00500001 0 0
40.7502  -0.00500001 0.00500001 0 0
40.8502  -0.00500001 0.00500001 0 0
40.9502  -0.00500001 0.00500001 0 0
41.0502  -0.00500001 0.00500001 0 0
41.1501  -0.00500001 0.00500001 0 0
41.2501  -0.00500001 0.00500001 0 0
41.3501  -0.00500001 0.00500001 0 0
41.4501  -0.00500001 0.00500001 0 0
41.5501  -0.00500001 0.00500001 0 0
41.6501  -0.00500001 0.00500001 0 0
41.7501  -0.00500001 0.00500001 0 0
41.8501  -0.00500001 0.00500001 0 0
41.9501  -0.00500001 0.00500001 0 0
42.05  -0.00500001 0.00500001 0 0
42.15  -0.00500001 0.00500001 0 0
42.25  -0.00500001 0.00500001 0 0
42.35  -0.00500001 0.00500001 0 0
42.45  -0.00500001 0.00500001 0 0
42.55  -0.00500001 0.00500001 0 0
42.65  -0.00500001 0.00500001 0 0
42.75  -0.00500001 0.00500001 0 0
42.85  -0.00500001 0.00500001 0 0
42.9499  -0.00500001 0.00500001 0 0
43.0499  -0.00500001 0.00500001 0 0
43.1499  -0.00500001 0.00500001 0 0
43.2499  -0.00500001 0.00500001 0 0
43.3499  -0.00500001 0.00500001 0 0
43.4499  -0.00500001 0.00500001 0 0
43.5499  -0.00500001 0.00500001 0 0
43.6499  -0.00500001 0.00500001 0 0
43.7499  -0.00500001 0.00500001 0 0
43.8499  -0.00500001 0.00500001 0 0
43.9498  -0.00500001 0.00500001 0 0
44.0498  -0.00500001 0.00500001 0 0
44.1498  -0.00500001 0.00500001 0 0
44.2498  -0.00500001 0.00500001 0 0
44.3498  -0.00500001 0.00500001 0 0
44.4498  -0.00500001 0.00500001 0 0
44.5498  -0.00500001 0.00500001 0 0
44.6498  -0.00500001 0.00500001 0 0
44.7498  -0.00500001 0.00500001 0 0
44.8497  -0.00500001 0.00500001 0 0
44.9497  -0.00500001 0.00500001 0 0
45.0497  -0.00500001 0.00500001 0 0
45.1497  -0.00500001 0.00500001 0 0
45.2497  -0.00500001 0.00500001 0 0
45.3497  -0.00500001 0.00500001 0 0
45.4497  -0.00500001 0.00500001 0 0
45.5497  -0.00500001 0.00500001 0 0
45.6497  -0.00500001 0.00500001 0 0
45.7496  -0.00500001 0.00500001 0 0
45.8496  -0.00500001 0.00500001 0 0
45.9496  -0.00500001 0.00500001 0 0
46.0496  -0.00500001 0.00500001 0 0
46.1496  -0.00500001 0.00500001 0 0
46.2496  -0.00500001 0.00500001 0 0
46.3496  -0.00500001 0.00500001 0 0
46.4496  -0.00500001 0.00500001 0 0
46.5496  -0.00500001 0.00500001 0 0
46.6495  -0.00500001 0.00500001 0 0
46.7495  -0.00500001 0.00500001 0 0
46.8495  -0.00500001 0.00500001 0 0
46.9495  -0.00500001 0.00500001 0 0
47.0495  -0.00500001 0.00500001 0 0
47.1495  -0.00500001 0.00500001 0 0
47.2495  -0.00500001 0.00500001 0 0
47.3495  -0.00500001 0.00500001 0 0
47.4495  -0.00500001 0.00500001 0 0
47.5494  -0.00500001 0.00500001 0 0
47.6494  -0.00500001 0.00500001 0 0
47.7494  -0.00500001 0.00500001 0 0
47.8494  -0.00500001 0.00500001 0 0
47.9494  -0.00500001 0.00500001 0 0
48.0494  -0.00500001 0.00500001 0 0
48.1494  -0.00500001 0.00500001 0 0
48.2494  -0.00500001 0.00500001 0 0
48.3494  -0.00500001 0.00500001 0 0
48.4493  -0.00500001 0.00500001 0 0
48.5493  -0.00500001 0.00500001 0 0
48.6493  -0.00500001 0.00500001 0 0
48.7493  -0.00500001 0.00500001 0 0
48.8493  -0.00500001 0.00500001 0 0
48.9493  -0.00500001 0.00500001 0 0
49.0493  -0.00500001 0.00500001 0 0
49.1493  -0.00500001 0.00500001 0 0
49.2493  -0.00500001 0.00500001 0 0
49.3492  -0.00500001 0.00500001 0 0
49.4492  -0.00500001 0.00500001 0 0
49.5492  -0.00500001 0.00500001 0 0
49.6492  -0.00500001 0.00500001 0 0
49.7492  -0.00500001 0.00500001 0 0
49.8492  -0.00500001 0.00500001 0 0
49.9492  -0.00500001 0.00500001 0 0
50.0492  -0.00500001 0.00500001 0 0
50.1492  -0.00500001 0.00500001 0 0
50.2492  -0.00500001 0.00500001 0 0
50.3491  -0.00500001 0.00500001 0 0
