#Time TotalMass(kg) flux(x0) flux(x1) flux(y0) flux(y1)
12.3533 0.177291 -0.00500001 6.47159e-87 0 0
12.4533 0.178726 -0.00500001 7.52172e-87 0 0
12.5533 0.180161 -0.00500001 8.73241e-87 0 0
12.6533 0.181596 -0.00500001 1.01267e-86 0 0
12.7532 0.183031 -0.00500001 1.17309e-86 0 0
12.8532 0.184466 -0.00500001 1.35744e-86 0 0
12.9532 0.185901 -0.00500001 1.56911e-86 0 0
13.0532 0.187336 -0.00500001 1.81188e-86 0 0
13.1532 0.188771 -0.00500001 2.09006e-86 0 0
13.2532 0.190206 -0.00500001 2.4085e-86 0 0
13.3532 0.191641 -0.00500001 2.77268e-86 0 0
13.4532 0.193076 -0.00500001 3.18877e-86 0 0
13.5532 0.194511 -0.00500001 3.66373e-86 0 0
13.6532 0.195946 -0.00500001 4.20539e-86 0 0
13.7531 0.197381 -0.00500001 4.82256e-86 0 0
13.8531 0.198816 -0.00500001 5.52515e-86 0 0
13.9531 0.200251 -0.00500001 6.32426e-86 0 0
14.0531 0.201686 -0.00500001 7.23237e-86 0 0
14.1531 0.203121 -0.00500001 8.26346e-86 0 0
14.2531 0.204556 -0.00500001 9.43319e-86 0 0
14.3531 0.205991 -0.00500001 1.07591e-85 0 0
14.4531 0.207426 -0.00500001 1.22608e-85 0 0
14.5531 0.208861 -0.00500001 1.39603e-85 0 0
14.653 0.210296 -0.00500001 1.58819e-85 0 0
14.753 0.211731 -0.00500001 1.80531e-85 0 0
14.853 0.213166 -0.00500001 2.05044e-85 0 0
14.953 0.214601 -0.00500001 2.32697e-85 0 0
15.053 0.216036 -0.00500001 2.63868e-85 0 0
15.153 0.217471 -0.00500001 2.9898e-85 0 0
15.253 0.218906 -0.00500001 3.385e-85 0 0
15.353 0.220341 -0.00500001 3.82951e-85 0 0
15.453 0.221776 -0.00500001 4.32909e-85 0 0
15.5529 0.223211 -0.00500001 4.89019e-85 0 0
15.6529 0.224646 -0.00500001 5.51993e-85 0 0
15.7529 0.226081 -0.00500001 6.2262e-85 0 0
15.8529 0.227516 -0.00500001 7.01777e-85 0 0
15.9529 0.228951 -0.00500001 7.90434e-85 0 0
16.0529 0.230386 -0.00500001 8.89663e-85 0 0
16.1529 0.231821 -0.00500001 1.00065e-84 0 0
16.2529 0.233256 -0.00500001 1.12471e-84 0 0
16.3529 0.234691 -0.00500001 1.26329e-84 0 0
16.4528 0.236126 -0.00500001 1.41799e-84 0 0
16.5528 0.237561 -0.00500001 1.59058e-84 0 0
16.6528 0.238996 -0.00500001 1.783e-84 0 0
16.7528 0.240431 -0.00500001 1.9974e-84 0 0
16.8528 0.241866 -0.00500001 2.23614e-84 0 0
16.9528 0.243301 -0.00500001 2.50184e-84 0 0
17.0528 0.244736 -0.00500001 2.79734e-84 0 0
17.1528 0.246171 -0.00500001 3.1258e-84 0 0
17.2528 0.247606 -0.00500001 3.49068e-84 0 0
17.3527 0.249041 -0.00500001 3.8958e-84 0 0
17.4527 0.250476 -0.00500001 4.34531e-84 0 0
17.5527 0.251911 -0.00500001 4.84382e-84 0 0
17.6527 0.253346 -0.00500001 5.39634e-84 0 0
17.7527 0.254781 -0.00500001 6.00839e-84 0 0
17.8527 0.256216 -0.00500001 6.68601e-84 0 0
17.9527 0.257651 -0.00500001 7.43582e-84 0 0
18.0527 0.259086 -0.00500001 8.26507e-84 0 0
18.1527 0.260521 -0.00500001 9.18167e-84 0 0
18.2526 0.261956 -0.00500001 1.01943e-83 0 0
18.3526 0.263391 -0.00500001 1.13125e-83 0 0
18.4526 0.264826 -0.00500001 1.25465e-83 0 0
18.5526 0.266261 -0.00500001 1.39077e-83 0 0
18.6526 0.267696 -0.00500001 1.54084e-83 0 0
18.7526 0.269131 -0.00500001 1.70621e-83 0 0
18.8526 0.270566 -0.00500001 1.88836e-83 0 0
18.9526 0.272001 -0.00500001 2.08887e-83 0 0
19.0526 0.273436 -0.00500001 2.30951e-83 0 0
19.1525 0.274871 -0.00500001 2.55217e-83 0 0
19.2525 0.276306 -0.00500001 2.81892e-83 0 0
19.3525 0.277741 -0.00500001 3.11202e-83 0 0
19.4525 0.279176 -0.00500001 3.43391e-83 0 0
19.5525 0.280612 -0.00500001 3.78728e-83 0 0
19.6525 0.282047 -0.00500001 4.17501e-83 0 0
19.7525 0.283482 -0.00500001 4.60026e-83 0 0
19.8525 0.284917 -0.00500001 5.06644e-83 0 0
19.9525 0.286352 -0.00500001 5.57728e-83 0 0
20.0525 0.287787 -0.00500001 6.1368e-83 0 0
20.1524 0.289222 -0.00500001 6.74938e-83 0 0
20.2524 0.290657 -0.00500001 7.41975e-83 0 0
20.3524 0.292092 -0.00500001 8.15307e-83 0 0
20.4524 0.293527 -0.00500001 8.95489e-83 0 0
20.5524 0.294962 -0.00500001 9.83126e-83 0 0
20.6524 0.296397 -0.00500001 1.07887e-82 0 0
20.7524 0.297832 -0.00500001 1.18343e-82 0 0
20.8524 0.299267 -0.00500001 1.29757e-82 0 0
20.9524 0.300702 -0.00500001 1.42211e-82 0 0
21.0523 0.302137 -0.00500001 1.55796e-82 0 0
21.1523 0.303572 -0.00500001 1.70608e-82 0 0
21.2523 0.305007 -0.00500001 1.86751e-82 0 0
21.3523 0.306442 -0.00500001 2.04338e-82 0 0
21.4523 0.307877 -0.00500001 2.23492e-82 0 0
21.5523 0.309312 -0.00500001 2.44343e-82 0 0
21.6523 0.310747 -0.00500001 2.67033e-82 0 0
21.7523 0.312182 -0.00500001 2.91715e-82 0 0
21.8523 0.313617 -0.00500001 3.18555e-82 0 0
21.9522 0.315052 -0.00500001 3.4773e-82 0 0
22.0522 0.316487 -0.00500001 3.79432e-82 0 0
22.1522 0.317922 -0.00500001 4.13867e-82 0 0
22.2522 0.319357 -0.00500001 4.51257e-82 0 0
22.3522 0.320792 -0.00500001 4.91842e-82 0 0
22.4522 0.322227 -0.00500001 5.35878e-82 0 0
22.5522 0.323662 -0.00500001 5.83643e-82 0 0
22.6522 0.325097 -0.00500001 6.35435e-82 0 0
