#Time  flux(x0) flux(x1) flux(y0) flux(y1)
7480.31  -6.6e-05 6.5999e-05 0 0
7540.2  -6.6e-05 6.5999e-05 0 0
7600.09  -6.6e-05 6.5999e-05 0 0
7659.99  -6.6e-05 6.5999e-05 0 0
7719.88  -6.6e-05 6.5999e-05 0 0
7779.77  -6.6e-05 6.5999e-05 0 0
7839.66  -6.6e-05 6.5999e-05 0 0
7899.56  -6.6e-05 6.5999e-05 0 0
7959.45  -6.6e-05 6.5999e-05 0 0
8019.34  -6.6e-05 6.5999e-05 0 0
8079.24  -6.6e-05 6.5999e-05 0 0
8139.13  -6.6e-05 6.5999e-05 0 0
8199.02  -6.6e-05 6.5999e-05 0 0
8258.91  -6.6e-05 6.5999e-05 0 0
8318.81  -6.6e-05 6.5999e-05 0 0
8378.7  -6.6e-05 6.5999e-05 0 0
8438.59  -6.6e-05 6.5999e-05 0 0
8498.48  -6.6e-05 6.5999e-05 0 0
8558.38  -6.6e-05 6.5999e-05 0 0
8618.27  -6.6e-05 6.5999e-05 0 0
8678.16  -6.6e-05 6.5999e-05 0 0
8738.06  -6.6e-05 6.5999e-05 0 0
8797.95  -6.6e-05 6.5999e-05 0 0
8857.84  -6.6e-05 6.5999e-05 0 0
8917.73  -6.6e-05 6.5999e-05 0 0
8977.63  -6.6e-05 6.5999e-05 0 0
9037.52  -6.6e-05 6.5999e-05 0 0
9097.41  -6.6e-05 6.5999e-05 0 0
9157.31  -6.6e-05 6.5999e-05 0 0
9217.2  -6.6e-05 6.5999e-05 0 0
9277.09  -6.6e-05 6.5999e-05 0 0
9336.98  -6.6e-05 6.5999e-05 0 0
9396.88  -6.6e-05 6.5999e-05 0 0
9456.77  -6.6e-05 6.5999e-05 0 0
9516.66  -6.6e-05 6.5999e-05 0 0
9576.56  -6.6e-05 6.5999e-05 0 0
9636.45  -6.6e-05 6.5999e-05 0 0
9696.34  -6.6e-05 6.5999e-05 0 0
9756.23  -6.6e-05 6.5999e-05 0 0
9816.13  -6.6e-05 6.5999e-05 0 0
9876.02  -6.6e-05 6.5999e-05 0 0
9935.91  -6.6e-05 6.5999e-05 0 0
9995.8  -6.6e-05 6.5999e-05 0 0
10055.7  -6.6e-05 6.5999e-05 0 0
10115.6  -6.6e-05 6.5999e-05 0 0
10175.5  -6.6e-05 6.5999e-05 0 0
10235.4  -6.6e-05 6.5999e-05 0 0
10295.3  -6.6e-05 6.5999e-05 0 0
10355.2  -6.6e-05 6.5999e-05 0 0
10415.1  -6.6e-05 6.5999e-05 0 0
